BuildingIndex,Year,Month,Day,Hour,Quarter,P1(DayOfWeek),P2(Holiday),P3(HighestTemp),P4(Weather),Demand
1,2017,1,3,17,0,2,4,9.2,1,494.88
1,2017,1,3,17,1,2,4,9.2,1,484.32
1,2017,1,3,17,2,2,4,9.2,1,505.92
1,2017,1,3,17,3,2,4,9.2,1,507.84
1,2017,1,3,18,0,2,4,9.2,1,500.16
1,2017,1,3,18,1,2,4,9.2,1,357.12
1,2017,1,3,18,2,2,4,9.2,1,340.8
1,2017,1,3,18,3,2,4,9.2,1,331.2
1,2017,1,3,19,0,2,4,9.2,1,322.56
1,2017,1,3,19,1,2,4,9.2,1,299.04
1,2017,1,3,19,2,2,4,9.2,1,292.8
1,2017,1,3,19,3,2,4,9.2,1,287.04
1,2017,1,3,20,0,2,4,9.2,1,282.24
1,2017,1,3,20,1,2,4,9.2,1,283.2
1,2017,1,3,20,2,2,4,9.2,1,281.76
1,2017,1,3,20,3,2,4,9.2,1,282.72
1,2017,1,3,21,0,2,4,9.2,1,269.76
1,2017,1,3,21,1,2,4,9.2,1,227.52
1,2017,1,3,21,2,2,4,9.2,1,225.12
1,2017,1,3,21,3,2,4,9.2,1,226.08
1,2017,1,3,22,0,2,4,9.2,1,227.52
1,2017,1,3,22,1,2,4,9.2,1,220.8
1,2017,1,3,22,2,2,4,9.2,1,216.48
1,2017,1,3,22,3,2,4,9.2,1,205.92
1,2017,1,3,23,0,2,4,9.2,1,203.04
1,2017,1,3,23,1,2,4,9.2,1,202.08
1,2017,1,3,23,2,2,4,9.2,1,201.12
1,2017,1,3,23,3,2,4,9.2,1,204.0
1,2017,1,3,24,0,2,4,9.2,1,191.04
1,2017,1,4,0,1,3,4,10.7,1,182.88
1,2017,1,4,0,2,3,4,10.7,1,179.04
1,2017,1,4,0,3,3,4,10.7,1,179.52
1,2017,1,4,1,0,3,4,10.7,1,191.52
1,2017,1,4,1,1,3,4,10.7,1,178.08
1,2017,1,4,1,2,3,4,10.7,1,177.12
1,2017,1,4,1,3,3,4,10.7,1,179.04
1,2017,1,4,2,0,3,4,10.7,1,189.12
1,2017,1,4,2,1,3,4,10.7,1,175.68
1,2017,1,4,2,2,3,4,10.7,1,174.72
1,2017,1,4,2,3,3,4,10.7,1,180.48
1,2017,1,4,3,0,3,4,10.7,1,178.56
1,2017,1,4,3,1,3,4,10.7,1,176.64
1,2017,1,4,3,2,3,4,10.7,1,174.24
1,2017,1,4,3,3,3,4,10.7,1,187.2
1,2017,1,4,4,0,3,4,10.7,1,173.28
